"选手ID","国籍","队伍","位置","年龄","TI次数"
"Sirc","Philippines","","Carry","","0"
"Skadilicious","Philippines","","Carry","27","0"
"TIMS","Philippines","OG","Carry4","29","6"
"Teehee","Philippines","","Support","30","0"
"Tino","Philippines","Execration","Offlane","26","0"
"Tmv","Philippines","","Support","28","0"
"Van","Philippines","","Offlane","29","0"
"Yopaj","Philippines","OG","Mid","24","2"
"YoungGod","Philippines","Flame Junior","Carry","29","0"
"Yowe","Philippines","TNC Predator","Mid","25","0"
"Zenki","Philippines","","Support","29","0"
"cml","Philippines","Execration","Support","28","0"
"eyyou","Philippines","","Support","34","2"
"gnoji","Philippines","","Carry","","0"
"gohan","Philippines","","Carry","24","0"
"lewis","Philippines","","Mid","23","0"
"ryOyr","Philippines","","Offlane","33","0"
"skem","Philippines","OG","Carry5","26","2"
"xLucky","Philippines","","Carry","","0"
"yAj","Philippines","","Mid","28","0"
"yaha","Philippines","","Support","30","0"
"Cast","Philippines","ALPHA Esports Pro","Other","39","0"
"Eri Neeman","Philippines","","Other","39","0"
"Jobeeezy","Philippines","","Support","","0"
"Kim0","Philippines","Execration","Coach","34","1"
"ninjaboogie","Philippines, United States","","Coach","34","2"
"Ekki","Poland, United Kingdom","Rune Eaters","Support","23","0"
"Exotic_Deer","Poland","","Carry","","0"
"Fey","Poland","","Carry","27","0"
"Nisha","Poland","Team Liquid","Mid","25","7"
"Patos","Poland","","Offlane","","0"
"Supreme","Poland","","Mid","","0"
"eL lisasH","Poland","","Support","30","0"
"kacor","Poland","","Support","","0"
"Arise","Romania","","Mid","33","0"
"ComeWithMe","Romania","","Support","33","1"
"Flash","Romania","","Support","31","0"
"KeyaNo","Romania","","Carry","","0"
"Masakary","Romania","","Offlane","34","0"
"Ulnit","Romania","","Carry","22","0"
"Zizou","Romania","","Support","","0"
"bOne7","Romania","","Support","35","2"
"canceL^^","Romania","","Mid","30","0"
"iLLusionisT","Romania","","Support","33","0"
"kAAN","Romania","No Bounty Hunter","Carry","28","0"
"BliNcc","Romania","","Coach","28","0"
"Mangusu","Romania","GamerLegion","Coach","28","0"
"ppasarel","Romania","","Coach","41","0"
"w33","Romania, Syria","","Mid","31","3"
".Ark","Russia","","Carry","29","0"
"9Class","Russia","PARIVISION","Carry4","23","2"
"9pasha","Russia","","Offlane","34","3"
"ANDROIDp","Russia","","Support","34","0"
"Admiration","Russia","","Mid","","1"
"Afoninje","Russia","","Support","29","0"
"AfterLife","Russia","","Offlane","29","0"
"Airu","Russia","Quantum Academy","Offlane","27","0"
"Antares","Russia","Virtus.pro","Offlane","23","1"
"Azen","Russia","","Carry","","1"
"BarabaNN","Russia","Magic Hands","Carry","29","0"
"Barash","Russia","","Mid","","0"
"Bl00DAnGeL","Russia","","Mid","33","1"
"Bobruha","Russia","","Mid","27","0"
"CHIRA_JUNIOR","Russia","Team Yandex","Mid","21","2"
"Ceyler","Russia","","Mid","29","0"
"Chappie","Russia","","Offlane","29","0"
"Cloud","Russia","","Offlane","26","1"
"Collapse","Russia","Team Spirit","Offlane","24","6"
"Cooman","Russia","","Carry","27","0"
"Crazy","Russia","","Mid","","1"
"DM","Russia","Team Yandex","Offlane","26","4"
"Dale","Russia","","Offlane","","0"
"Damaroo","Russia","","Carry","27","0"
"Dame","Russia","","Mid","25","0"
"Daxak","Russia","","Offlane","29","1"
"Desperate-","Russia","","Mid","26","0"
"Difference","Russia","","Mid","19","0"
"Dinozavrik","Russia","","Carry","25","0"
"Ditya Ra","Russia","","Carry","31","1"
"DkFogas","Russia","","Offlane","26","0"
"Dukalis","Russia","PARIVISION","Carry5","24","2"
"Elmo","Russia","","Carry","28","0"
"Flow","Russia","","Offlane","31","0"
"Forcemajor","Russia","","Support","24","1"
"GGS","Russia","","Carry","29","0"
"GGwpLanaya","Russia","","Mid","","0"
"Gatciy","Russia","","Support","30","0"
"Gazyava","Russia","Team Stels","Carry","","0"
"Gee'za","Russia","","Offlane","28","0"
"Gibkiy","Russia","","Carry","30","0"
"Gilgir","Russia","","Support","27","0"
"Gorec","Russia","","Offlane","","0"
"Gurin","Russia","","Offlane","","0"
"Htrd","Russia","Level UP","Support","23","0"
"Imba4","Russia","","Mid","30","0"
"Immersion","Russia","Power Rangers","Support","28","0"
"Inkvizitor","Russia","","Support","","0"
"JANTER","Russia","","Support","22","0"
"Jst","Russia","","Support","30","0"
"KaHT","Russia","","Support","36","0"
"Kataomi`","Russia","BetBoom Team","Support","27","5"
"KingR","Russia","","Support","32","0"
"Kiritych","Russia","BetBoom Team","Carry","23","2"
"Kodos","Russia","","Mid","25","0"
"Kom4rt","Russia","","Carry","25","0"
"KtAmOp","Russia","","Offlane","26","0"
"Kyzko","Russia","","Support","27","0"
"L0lik_O","Russia","Digital Company","Offlane","32","0"
"Larl","Russia","Team Spirit","Mid","24","5"
"Lefitan","Russia","","Support","22","0"
"Limitless","Russia","","Offlane","28","0"
"Lirik","Russia","","Mid","33","0"
"Lukas","Russia","","Carry","27","0"
"MYSmoon","Russia","","Offlane","27","0"
"Maden","Russia","","Support","31","0"
"MagiskUSH","Russia","","Mid","27","0"
"Malr1ne","Russia","Team Falcons","Mid","21","3"
"Mariachi","Russia","","Carry","28","0"
"Massacre","Russia","","Mid","34","0"
"MieRo","Russia","BetBoom Team","Offlane","23","4"
"Mirele","Russia","","Mid","21","0"
"Munkushi~","Russia","1w Team","Carry","23","1"
"Muriel","Russia","","Support","","0"
"NT-","Russia","","Mid","","0"
"Neks","Russia","","Support","28","0"
"Nexus","Russia","","Carry","34","0"
"Nightfall","Russia","Aurora Gaming","Carry","24","6"
"Noticed","Russia","PARIVISION","Offlane","24","3"
"Otaker","Russia","","Carry","26","0"
"PERDAN4IK","Russia","","Support","20","0"
"PSM","Russia","","Support","39","0"
"Paradise","Russia","","Carry","23","0"
"Petru44o","Russia","","Support","30","0"
"Pure","Russia","1w Team","Carry","22","5"
"Qwerty","Russia","","Mid","38","0"
"RAMZES666","Russia","Team Yandex","Offlane","27","5"
"Rari","Russia","","Carry","27","0"
